aspects,sentiments,snippets,target,sentence
Stock/Technical Analysis,0.345,broken out of a major horizontal resistance,CIEN,$CIEN http://stks.co/dZU CIEN seems to have broken out of a major horizontal resistance. Targets $14.35.
Stock/Price Action/Bullish,0.655,getting through the 100 and 200 MA could see it run.,T,like $T for a breakout long as well. getting through the 100 and 200 MA could see it run.
Stock/Price Action/Bearish,-0.088,Im still skeptical. Will take profits,DWA,My $DWA play up 6% today. I'm still skeptical. Will take profits. Not a time cheer
Stock/Price Action/Bullish,0.532,staying strong,IBM,$IBM staying strong
Corporate/Reputation,-0.55,even though the report is untrue and has been proven unture the damage is done,SINA,"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now"
Stock/Technical Analysis,0.221,4 period RSI is down at 20,AMZN,"$amzn 4 period RSI is down at 20, just read Connors book on trading strategies"
Corporate/Legal,-0.354,Bid for Reargument Denied by Judge,SIGA,$SIGA Bid for Reargument Denied by Judge
Stock/Technical Analysis/Breakout,0.194,Crazy looking chart but nearing breakout resistance line,YHOO,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line..."
Stock/Price Action/Bullish/Bullish Behavior,0.443,consolidating above 50  200 MA,CERN,$CERN - consolidating above 50 & 200 MA - nice long entry here w stop below 10 MA - targeting $70 area
Corporate/Sales/Deal,0.224,Sees Baxalta Deal Closing as Expected,Shire,Shire Sees Baxalta Deal Closing as Expected After New Rules
Stock/Price Action/Bullish,0.316,Were holding above Wednesday and Thursday closes. Im leaning bullish,SPY,$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.
Stock/Fundamentals/Share Buyback,0.285,Rowan Expands Share Repurchase Program,RDC,$RDC Rowan Expands Share Repurchase Program to $150 million
Corporate/M&A/M&A,0.257,to Buy Barclays Wealth Management Unit,OCBC,"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong"
Stock/Price Action,0.0,sideways,NVDA,$NVDA sideways
Stock/Price Action/Current Price/52-Week High,0.68,Resuming advance into new historical highs.,HITK,$HITK  Resuming advance into new historical highs.
Stock/Technical Analysis,0.198,Held its recent double bottom buy point,WMT,Held its recent double bottom buy point of 56.57 almost to the penny today $WMT http://chart.ly/6nosp5q
Stock/Technical Analysis/Breakout,0.518,breakout very likely,GOOG,$GOOG breakout very likely medium target $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr
Corporate/Sales,0.539,Sales Were Off the Charts,AAPL,RT @Street_Insider The Steve Jobs Effect? Apple $AAPL First Day iPhone 4S Sales Were Off the Charts http://stks.co/YYe
Market/Market,-0.497,market tanking,FIO,"that was quick, out $FIO 21.35, market tanking, scaling down longs now"
Stock/Price Action,-0.406,great short setting up,SPY,$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$
Corporate/Dividend Policy,0.324,Increases Annual Dividend Target,LNT,$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share
Stock/Technical Analysis,-0.361,still has a rising RSI  MACD,UUP,"RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP"
Corporate/Financial/Financial Results/Earnings,0.477,crunching s,IDCC,$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.
Stock/Price Action/Bullish,0.195,hanging in well today. still in a basing pattern,MAKO,$mako hanging in well today. still in a basing pattern. have eyes on it
Stock/Price Action/Volatility/Short Selling,-0.469,think shorting here into close might be play,SPY,"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot"
Stock/Price Action/Bullish/Bullish Behavior,0.807,is a rocket ship,TZA,$TZA is a rocket ship!!!
Stock/Price Action/Bullish,0.394,stocks look like a 510 run awaits. Long,SSRI,"Lots of metal stocks look like a 5-10% run awaits. Long $SSRI,$PAAS and $NEM but most high quality names should go if metal prices cooperate"
Stock/Price Action/Bullish/Bullish Behavior,0.141,sits near hod,SPY,$vxx starting to creep up while $spy sits near hod ...
Stock/Price Action/Volatility/Short Selling,0.411,Im sure those short are holding their breath,AAPL,$AAPL I'm sure those short are holding their breath hoping for a miracle. lol
Stock/Price Action/Volatility/Short Selling,-0.57,bear raid in effect. Stock down 12,VVUS,VIVUS $VVUS bear raid in effect. Stock down 12%
Stock/Price Action/Bearish/Bear Position,-0.352,I may try a short.,CREE,looks like a big feb 18-22 $put spread on $cree.  Last quarter 0% YoY rev growth trading @ 24x earnings.  I may try a short.
Stock/Price Action/Current Price/Overbought,-0.451,wayyy overvalued right now IMO,YELP,$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......
Stock/Price Action/Bearish,-0.64,short from here.,RENN,$renn topping tail 5 min. chart at 7.31 short from here.
Stock/Price Action/Bearish,-0.297,weak close,SPY,$SPY weak close
Stock/Technical Analysis,0.248,Looking for a test at 9.25 resistance point,ZNGA,$ZNGA http://stks.co/3rdu Looking for a test at 9.25 resistance point. cc @ cfrazierjr @FletchTrade #traders
Stock/Price Action/Bullish/Bullish Behavior,0.354,hod poste,EFUT,$EFUT hod  posted buy pm at $4.40
Stock/Price Action/Bearish/Bear Position,-0.464,short some,AAPL,$AAPL short some 592.49
Stock/Price Action,0.052,share price steady,Tesco,Tesco share price steady as analysts weigh in on results
Corporate/Financial/Accounting,-0.515,Sales weak margins down debt still way up.,SWY,"@SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up."
Stock/Price Action/Bullish/Bullish Behavior,0.144,Taking out the shorts here,AAPL,"$AAPL Taking out the shorts here, a punishing reminder not to spear the  strongest in the herd."
Stock/Technical Analysis,0.221,will challendge 200EMA in not distant future,FMS,Think $FMS will challendge 200-EMA in not distant future.   Look at yesterday's volume
Corporate/Strategy,0.461,Apple mastered EVERYONES supply chain,AAPL,"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE'S supply chain!"
Corporate/Risks,-0.358,lags on capital worries,Standard Chartered,Standard Chartered lags on capital worries
Stock/Price Action,0.292,share price lifts,Lloyds,Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs
Stock/Coverage/AnalystRatings/Upgrade,0.394,analyst upgrades last week,PRLB,$PRLB hanging tough in down market due to analyst upgrades last week. Up almost 3%.
Stock/Price Action/Bullish/Bullish Behavior,0.469,Its accumulating. I think buy now or hold your peace. This should go up todaytomorrow.,AMRN,$AMRN It's accumulating. I think buy now or hold your peace. This should go up today/tomorrow.
Stock/Price Action,0.308,Looking for continuation with volume increase,AXP,$AXP Looking for continuation with volume increase http://stks.co/c8sR
Corporate/Dividend Policy,0.444,double dip dividend play,MSFT,MT @TheAcsMan Amazing seeing everyone suddenly touting $MSFT. Long been favorite covered call & double dip dividend play.
Corporate/Sales,0.315,sales numbers still holding up so well,SKS,Surprising to see $JWN and $SKS sales numbers still holding up so well. I guess the high end might not be a concern after all.
Corporate/Sales,0.586,steep global sales increase,CAT,"AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT"
Stock/Price Action/Bullish/Bull Position,0.428,Long 12 position,SPY,$SPY Long 1/2 position 137.89
Stock/Price Action,-0.22,price momentum weakening going into the close.,AAPL,$AAPL price momentum weakening going into the close.
Stock/Price Action/Future Price/Direction,0.166,still on track for 500,AAPL,RT @ACInvestorBlog $AAPL still on track for $500
Stock/Price Action/Bearish,-0.26,fast 56pc div,SPY,$SPY $MITK fast 56pc dive http://stks.co/3ffN $$
Stock/Price Action/Bullish/Bull Position,0.433,in for swing trade looks like want go up,BAC,$BAC in for swing trade  looks like want go up
Corporate/M&A/M&A,0.486,acquisition news,PCLN,$PCLN runs into the 50sma on the acquisition news
Stock/Technical Analysis,-0.175,Should have the channel cleared soon and on solid footing,AAPL,$aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :)
Stock/Price Action/Bullish,0.61,big bounce,WYNN,$WYNN big bounce
Stock/Technical Analysis,-0.143,Resistance 10 points north at 200d and downward trendline,GLD,$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.
Stock/Price Action/Bearish/Bearish Behavior,-0.37,wants lower. up waves getting smaller,AAPL,$AAPL wants lower. up waves getting smaller on the 2 min
Stock/Fundamentals/Short Interest Rate,-0.342,Short interest increases yet again,SPY,Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY
Stock/Price Action/Bearish,-0.169,this erases all of todays gains,QCOR,"$QCOR a little pullback is fine but if this erases all of todays gains, I cannot believe the manipulation its capable of"
Stock/Technical Analysis,0.574,MACD CROSSOVER with RSI and STO going up,WMT,$WMT BULLISH with MACD CROSSOVER with RSI and STO going up - above 73.4$ MA50 res. could run http://stks.co/gGCq
Corporate/M&A/M&A,0.396,takeover interest,RA,Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY
Stock/Technical Analysis,-0.025,620 resistance area,AAPL,$AAPL 620 resistance area
Stock/Price Action/Bearish,-0.573,its been a sinking ship,HK,what is up with $HK..... from Jan to now it's been a sinking ship...
Corporate/M&A,0.076,was right to reject the offer,WGO,"$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything."
Stock/Options,0.579,Long LEAPS,AAPL,I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endâ€”That's another hun from here.Long LEAPS =^.^=
Stock/Price Action,0.19,bounce right now has no vol,AAPL,"$AAPL bounce right now has no vol, more vol when it slid"
Stock/Technical Analysis,0.351,now indicators turning up RSI MACD SMI,LULU,"$LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look"
Stock/Technical Analysis,-0.202,Looking for bottom. Rsi under 30,NIHD,$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30
Stock/Price Action/Bullish/Bull Position,0.512,long,AAPL,$AAPL long 630.91
Stock/Signal/Sell Signal,-0.445,Sell signal hit at 584 it will go down for the next 5 min,AAPL,"It's a bad idea to make 5 min predictions based on faith: RT @dandyduct $AAPL Sell signal hit at 584, it will go down for the next 5 min"
Stock/Price Action/Bullish/Bull Position,0.384,bot at 2.24,KCG,$KCG bot at 2.24
Stock/Price Action/Bearish/Bearish Behavior,-0.274,lets see one more dip to 2.0x,HZNP,$HZNP havent seen vol like this since the runup. lets see one more dip to 2.0x
Corporate/Rumors/Scoop,0.0,Should You Follow Berkshire Hathaway Into Apple Stock,Berkshire Hathaway,Should You Follow Berkshire Hathaway Into Apple Stock?
Stock/Price Action,0.464,pretty steady accumulation off support today,AGU,pretty steady accumulation off support today.  Purdy. $AGU
Stock/Price Action/Bullish/Bullish Behavior,0.372,Out of shorts,ALTR,Out of shorts $ALTR at 38.85 with loss
Stock/Price Action/Bearish,-0.51,horrible action since it hit 70 yesterday,GMCR,"$GMCR with the way this has been acting, it may fall to 65 today, horrible action since it hit 70 yesterday"
Stock/Technical Analysis/Breakout,0.452,had a nice breakout of the recent consolidation,EBAY,$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd
Stock/Price Action/Bullish/Bullish Behavior,0.41,picking up some speed. May 16 calls now 35H,SDS,"$SDS +1.46% 15.32, picking up some speed. May 16 calls now +35% .19: http://stks.co/3eiK, Next week $16 calls .11c: http://stks.co/3eiL"
Stock/Coverage/AnalystRatings/Downgrade,-0.325,Gundlach Slams iPad mini Sees Downside,AAPL,"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV"
Stock/Options/Unusual Call Activity,0.553,AUG 645 calls 550,AAPL,$AAPL AUG 645 calls +550% .67c: http://stks.co/i9T3
Stock/Price Action/Bullish/Bull Position,0.574,Went long on this,COG,"Went long on this $COG, will see 70's again me thinks"
Stock/Price Action/Bullish,0.509,nibbling on a small long,AAPL,$AAPL nibbling on a small long via 525.. buying off 13min charts..
Stock/Price Action/Bullish,0.47,Bounce off of Put OI  S1 pivot,AAPL,Added. Cost now at 1.54. Bounce off of Put OI & S1 pivot. @moteltan BTO $AAPL Apr 27 2012 605.0 Calls @ 1.66 for ride to 609 ish.
Stock/Price Action/Bullish/Bullish Behavior,0.495,trade continuing very nicely from yesterday almost up 3 from yesterday entry,WAC,"$WAC trade continuing very nicely from yesterday, almost up $3 from yesterday entry, deal pricing tonight looking very strong here... $SPY"
Stock/Price Action/Bullish,0.308,Smallcaps  semis with a fakeout before the bout.,SOX,Equity indexes working on a positive engulfing for March. $SML $RUT $IWC $SMH $SOX  Small-caps / semis with a fakeout before the b/out.
Stock/Price Action/Bullish,0.432,Poised to Pop,BONE,$BONE Earnings Stocks Poised to Pop http://stks.co/2zWE
Stock/Price Action/Bullish,0.492,Amazing run since middle of March,SONC,$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance
Corporate/Financial/Bankruptcy/Exisiting bankruptcy,0.298,ready to exit bankruptcy,LEE,$LEE http://stks.co/24kM LEE ready to exit bankruptcy. Strong volume today.
Stock/Price Action/Bullish,0.254,some upside today,RCON,$RCON some upside today. This thing is severe low float. If there is catalyst for this guy. It can run.
Stock/Price Action/Current Price/Oversold,0.436,Looking for a oversold bounce.,KITD,$KITD Looking for a oversold bounce.
Corporate/Sales,0.43,second consecutive quarter of sales growth,Morrisons,Morrisons book second consecutive quarter of sales growth
Stock/Technical Analysis,0.201,Descending triangle,PPG,$PPG Descending triangle but I am liking it for an upside break http://stks.co/o9nY
Stock/Technical Analysis,0.605,ascending base breakout starting to gain traction,NSM,$NSM ascending base breakout starting to gain traction; strong stock http://stks.co/gBSH
Stock/Technical Analysis,0.505,Test the high today,AAPL,$aapl.  Test the high today and probably go beyond after hours...
Stock/Price Action/Bullish/Bull Position,0.663,Long,PCLN,Long $PCLN
Corporate/Regulatory,-0.084,postal regulation report,Royal Mail,Royal Mail gets mixed bag from Ofcom postal regulation report
Stock/Price Action/Volatility/Short Selling,-0.334,shorts made a killing last couple days,HLF,"$HLF shorts made a killing last couple days, might make more if cover and buy back?"
Stock/Technical Analysis,-0.474,chart finally leads to a fall in price,MCD,Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.
Stock/Price Action/Bullish/Bullish Behavior,-0.412,up pre mkt.,MFLX,$MFLX up  pre mkt. Looks like GAP has been filled....lookin 4 short opt here
Corporate/Rumors,-0.02,Dont think buyout rumor strong enough,ARNA,RT @jan $ARNA Don't think buyout rumor strong enough too be driving this up just yet...when it is this may fly like aapl...// fly how high?
Stock/Price Action/Bullish/Bull Position,0.346,Right back in ...  Buy the dips,AAPL,$AAPL Right back in ... - Buy the dips brought to you by CNBC. LOL
Stock/Price Action/Bullish,0.477,green and moving,DMND,$DMND green and moving
Stock/Insider Activity,-0.34,of illegal tips to plumber,Barclays,UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber
Stock/Technical Analysis/Breakout,0.428,ready for a breakout,MTD,$MTD (Mettler-Toledo) ready for a breakout
Corporate/Strategy/Corporate Planning,0.364,Insurer buys advice firm Pearson Jones,Standard Life,Standard Life share price: Insurer buys advice firm Pearson Jones
Corporate/Sales/Deal,0.392,AB InBev SABMiller deal,SABMiller,"EU regulators clear $100 billion-plus AB InBev, SABMiller deal"
Stock/Price Action/Bearish/Bearish Behavior,-0.164,under 2 today,ACAD,$ACAD under $2 today?
Stock/Price Action,0.251,breaking,AMZN,$amzn breaking
Corporate/Legal,-0.284,copyright infringement,ZNGA,$EA points to the two Facebook games and accuses $ZNGA of copyright infringement. http://stks.co/g3A1
Stock/Price Action/Current Price/Oversold,0.303,Oversold falling wedge and positive divergence place it on the launch pad looking for a bounce.,KGC,"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce."
Stock/Price Action/Bullish,0.381,poised to run too,LNG,RT @bman1 $LNG looks primed also $EGHT poised to run too...
Stock/Technical Analysis,-0.07,broke descending channel,AAPL,$AAPL broke descending channel....will it hold?
Stock/Price Action/Bullish/Bullish Behavior,0.272,Does not want to go down... risk appetite still high,JNK,$JNK http://stks.co/2Fcm Does not want to go down... risk appetite still high
Corporate/Dividend Policy,0.316,Receive Dividend Hike Green Light,PNC,"PNC, Goldman Sachs Receive Dividend Hike Green Light (But Don't Act): http://stks.co/2pa7 $PNC $GS"
Stock/Price Action/Bearish/Bearish Behavior,-0.699,big dumping... would not touch it for a while,AMD,$AMD big dumping... would not touch it for a while
Stock/Price Action/Bullish/Bullish Behavior,0.256,finding support at its 10day line so far.,GNRC,$GNRC finding support at its 10-day line so far.
Stock/Price Action/Bullish,0.664,Still think way more upside than downside.,BSX,"Loaded up on $bsx yesterday,looking good now. Still think way more upside than downside."
Stock/Price Action/Bullish/Bull Position,0.73,Just added 3000 shares,QCOR,"$QCOR Just added 3,000 shares @28."
Stock/Price Action,-0.146,After weeks of steady gainsadvances in mkt breadth slowe,QQQ,"RT @StockTwits RT @fallondpicks Breadth Consolidates: After weeks of steady gains,advances in mkt breadth slowe... http://stks.co/2TrG $QQQ"
Stock/Price Action/Bearish/Bearish Behavior,-0.36,rejected the hod...should head lower,AAPL,$AAPL rejected the hod...should head lower. Sitting on the sidelines for now.
Corporate/M&A/M&A,0.451,completes acquisition of,ICOA,"Google, Inc. completes acquisition of ICOA, Inc. http://stks.co/nFEI $ICOA $GOOG"
Corporate/Sales,0.434,declares best ever Black Friday and Cyber Monday,AMZN,Amazon declares 'best ever' Black Friday and Cyber Monday for Kindle family http://stks.co/cEtw via Engadget $AMZN
Corporate/Company Communication,0.368,reports solid start to the year,Kingfisher,Retail giant Kingfisher reports 'solid' start to the year
Stock/Price Action/Bullish/Bullish Behavior,0.609,Hitting HOD here.,VVUS,Long $VVUS shares as a call option w/ an expiration of..  umm.. TODAY.    Hitting HOD here.
Stock/Price Action/Bullish/Bullish Behavior,0.612,Up 6 and high on volume,ISR,$ISR- @IsoRay Up 6% and high on volume http://stks.co/iFpo #biotech
Stock/Price Action/Bullish,0.492,Nice buyable intraday dip right here,FB,$FB Nice buyable intraday dip right here
Stock/Price Action/Volume/Unusual high volume,0.497,Accumulation chart continues to make new highs showing accumulation continuing to take place,LSCC,$LSCC Accumulation chart continues to make new highs showing accumulation continuing to take place http://stks.co/aDpO
Stock/Price Action/Bullish,0.546,could see more upside,SAVE,$SAVE breaking it's downtrend line on increasing volume. A move above 20.57 could see more upside. http://stks.co/l8y4
Stock/Technical Analysis,0.34,resistance turned support,GOOG,$GOOG resistance turned support?  It
Stock/Price Action/Bullish/Bullish Behavior,0.519,calls are 35 since entry,CRM,$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm
Stock/Options,0.635,Current holdings via options  Long,V,Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX
Stock/Price Action/Bearish,-0.639,seems its falling towards,AAPL,$AAPL I am big OUT from this. seems its falling towards 530.. :(
Stock/Price Action/Bullish/Bullish Behavior,0.592,Momentum building for breakout trigger  Long setup,PKT,$PKT Momentum building for breakout trigger ! Long setup http://stks.co/eXVU
Stock/Price Action,0.231,short term consolidation then movement higher,NFLX,$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu
Stock/Price Action/Bullish/Bullish Behavior,0.171,Can go much higher if it can break above,UUP,$UUP at major resistance right now. Can go much higher if it can break above. May take several attempts - few days to a week
Market/Volatility,-0.223,volatility is back,VXX,$spy $vxx $aapl the parties over loaded on $uvxy volatility is back
Corporate/Financial/Financial Results/Earnings/Company Guidance,0.367,raises revenue forecast,BRCM,$brcm raises revenue forecast
Stock/Price Action/Bullish,0.395,Sounds like well see some green tomorrow.,BBRY,$BBRY bye bye Sammy. Hello BB. Sounds like we'll see some green tomorrow.
Stock/Technical Analysis,0.516,Daily technical indicators are bullish,ASTX,$ASTX Daily technical indicators are bullish. Breakout watch over 4.58  http://stks.co/eOvw
Stock/Price Action/Bullish/Bullish Behavior,0.437,bouncing nicely,EDU,$EDU bouncing nicely after add-on (posted)
Stock/Technical Analysis,0.389,breakout above 29.83 would constitute a technical entry,YHOO,$YHOO A breakout above $29.83 would constitute a technical entry for the short term trader. http://stks.co/jkUF
Stock/Technical Analysis,0.551,BULLISH Engulfing,KO,BULLISH Engulfing of COCA COLA: http://stks.co/fYCo $KO
Stock/Price Action/Bullish/Bullish Behavior,0.529,buy programs poppin,SPY,$IWM buy programs popping $iwm for close print cheap money means higher stock prices $spy robot buying
Stock/Price Action/Bullish/Bullish Behavior,0.391,LOOKS like we are bouncing,JE,"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed"
Stock/Price Action,-0.458,the weakest sector this year and possible false breakout,XLB,$XLB the weakest sector this year and possible false breakout  http://stks.co/dL1Z
Stock/Price Action/Bullish,0.602,just about to break out to new highs,TYC,"$TYC just about to break out to new highs, lots of technicals looking great right now."
Stock/Technical Analysis,0.128,at pivot area on intraday chart,AAPL,"$AAPL at pivot area on intraday chart- break here could send this to 50-day SMA, 457.80 http://stks.co/jPbN"
Stock/Price Action/Bullish/Bullish Behavior,0.297,All time high tomorrow,SPY,"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007."
Stock/Price Action/Bullish,0.416,wouldnt be surprised to see a green close,SPY,$SPY wouldn't be surprised to see a green close
Stock/Signal/Buy Signal,0.453,Looks like good entry,QIHU,@Vegastrader66 Looks like good entry for $QIHU here.
Corporate/Appointment,0.129,closes in on new chairman,Dixons Carphone,Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame
Corporate/Company Communication,-0.288,discloses units ties to Iran opens probe,Berkshire,"Berkshire discloses unit's ties to Iran, opens probe"
Stock/Price Action/Bullish/Bull Position,0.554,back in this am small post,INO,$INO back in this am small post
Stock/Technical Analysis,0.394,Inverse Head and Shoulders forming,BBRY,"@harmongreg: $BBRY wkly, Inverse Head and Shoulders forming, triggers over 18.50, PO at least 30.80, watching http://stks.co/iPVJ"
Stock/Price Action/Bullish/Bullish Behavior,0.438,biggies must be loading up here at lows..,LINE,$LINE biggies must be loading up here at lows..
Stock/Price Action/Bearish/Bearish Behavior,-0.398,is looking weak while this market is moving higher not a good sign,GS,$GS is looking weak while this market is moving higher not a good sign. Unless $gs can get above 157. early short below 154.00 today.
Stock/Technical Analysis,-0.042,Key level to watch,FB,Key level to watch in $FB for today is 25.53-- watching to see if it can hold as support http://stks.co/bOH4
Corporate/Appointment,0.077,names Kara Raiguel to lead General Re unit,Berkshire,Berkshire Hathaway names Kara Raiguel to lead General Re unit
Stock/Price Action/Bullish,0.531,I was buying when everyone was selling,YNDX,"$YNDX and the price of some stocks was 2 times lower then annual earnings, I could not resist, I  was buying when everyone was selling"
Stock/Technical Analysis,0.661,Red Daily Triangle,SHOR,"Red Daily Triangle on $SHOR,...Scaling Up on Long Position http://stks.co/r82S"
Corporate/Reputation,0.295,had a big GROWING success for years,AAPL,@Megaas2000 $AAPL McDonalds had a big GROWING success for years with the same BigMac and Apple update and improbe Iphone and Ipad
Stock/Price Action/Volume/Unusual Low Volume,-0.584,stocks hover near 3week low,Dialog,"European stocks hover near 3-week low, Dialog and BHP slump"
Corporate/Strategy/New Product,0.121,Launches Origin Online Game Distribution for Mac,EA,EA Launches Origin Online Game Distribution for Mac http://stks.co/aKTU via MacRumors $EA
Market/Market,0.571,bucks weak markets,Hargreaves Lansdown,Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent
Stock/Coverage/AnalystRatings/Upgrade,0.685,UPGRADE today by MS to overweight.,ETN,$ETN UPGRADE today by MS to overweight.  Excellent company and leadership
Stock/Price Action/Bullish/Bullish Behavior,0.271,double bottom could be in,AAPL,"$AAPL double bottom could be in, keep in mind"
Corporate/Financial/Financial Results/Earnings/Earnings miss,-0.363,This time I think AAPL will miss again,AAPL,@Joerazorback This time I think $AAPL will miss again. Generally speaking market is near top when everyone thinks that market goes only up
Stock/Options/Strategies/Bull Call Spread,0.681,Full bull call spread ranging July to Jan,AMRN,"$amrn Full bull call spread ranging July to Jan 15. Lets see what this baby does,"
Stock/Price Action/Bullish/Bullish Behavior,0.319,finished a great yr w 28 plus,FB,$FB Dax says bye bye 2013 - finished a great yr w 28% plus!
Stock/Technical Analysis/Breakout,0.478,Breakout coming Monday,UNXL,@CH_Roark: $UNXL I like this Ascending Triangle on the 30-minute chart. Breakout coming Monday! http://stks.co/aT3GLooks promising.
Corporate/Sales,0.526,ales exceed target profitability guidance amended upward,TSLA,"@StockTwits: @Kbkiwi: $TSLA Tesla Model S sales exceed target, profitability guidance amended upward: http://stks.co/jQ0w"""""
Stock/Fundamentals,0.495,Delivers 2.9 Underlying Net Income Growth,MillerCoors,MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014
Corporate/Strategy/Buyout,0.437,SABMiller buyout plan,AB InBrev,Australia clears AB Inbev's $100 billion SABMiller buyout plan
Stock/Price Action/Bullish/Bull Position,0.674,Long Position,GOL,"Long Position on $GOL,...Updating http://stks.co/fdmm"
Stock/Signal/Sell Signal,-0.538,got a sell signal on 64 and needs to take out 39.28 to go higher otherwise headed lower,SMH,$SMH got a sell signal on 6/4 and needs to take out 39.28 to go higher otherwise headed lower than 37.60 gap below at 35.38
Stock/Signal/Buy Signal,0.552,up 33 since 625 buy signa,OSUR,$OSUR up 33% since 6/25 buy signal. resistance 5.33 - expect 1. pullback 2nd half of day or 2. break abov 5.33 & continue rally for 4-5 days
Stock/Technical Analysis,-0.287,chart rolling over,SPY,$SPY Could the pride of social media be gettin ready to fall?  $FB - chart rolling over?
Stock/Price Action/Bullish/Bullish Behavior,0.323,of the lows,NFLX,$NFLX +3% of the lows
Stock/Price Action/Bearish/Bearish Behavior,-0.551,getting sold here.,SBUX,$SBUX getting sold here.
Corporate/Strategy/Business Model,0.116,making the big added efficiency argument. betting on operational imporvement in a huge conglomerate,PG,$PG Ackman making the big added efficiency argument. betting on operational imporvement in a huge conglomerate can go either way imo.
Stock/Price Action/Bearish,-0.559,all going down,SPX,$RIMM $spx $nya $compq $djia all going down
Stock/Price Action/Bullish,0.366,shorts are getting nervous,ZNGA,"@IfHeDiesHeDies: @Bullhorn334: $ZNGA shorts are getting nervous"""""
Stock/Price Action/Bullish/Bull Position,0.421,Will be looking to add shares if we get a new high breakout.,OCN,$ocn has the stuff. Will be looking to add shares if we get a new high breakout.
Corporate/Rumors,0.427,hearing rumours of a major joint venture announcement,BBRY,$BBRY hearing rumours of a major joint venture announcement.
Corporate/Legal,0.114,not to face Scottish prosecution over RBS,RBS,Goodwin not to face Scottish prosecution over RBS
Stock/Price Action/Bullish,0.533,Good time to buy.,AAPL,$AAPL Good time to buy. Will the run come before earnings or after?
Market/Market,-0.057,in tough UK market,Royal Mail,Royal Mail turnaround proving expensive in tough UK market
Stock/Price Action/Volatility/Short Selling,-0.494,congrats shorts,QIHU,"$QIHU totally missed this one, was about to jump in on that 60 break test but didn't, congrats shorts"
Stock/Price Action/Bearish,-0.32,Put the chum out there at key support then next level down  careful,UVXY,$UVXY Put the chum out there at key support then next level down - careful
Stock/Price Action/Bullish/Bull Position,0.627,Entering long,LMT,Entering long Lockheed Martin $LMT at Thursday's open. http://stks.co/eXtA
Stock/Technical Analysis,0.272,possible double bottom set up,GLD,@catskillfishing  Note the monthly chart of $GDX & how it recaptured support. $GLD possible double bottom set up. http://stks.co/aw6z
Stock/Technical Analysis,-0.341,Key price to watch,NFLX,"Key price to watch in $NFLX, off the previous double top reject, 218.23 http://stks.co/sIYn"
Stock/Price Action/Bearish,-0.454,Tomorrow party time for the Bears,SPY,$SPY Tomorrow party time for the Bears!! $GOOG and $MSFT -5.5%
