aspects,sentiments,snippets,target,sentence,combined,news
Stock/Price Action/Bearish,-0.204,bull move ended,SPY,$SPY bull move ended waiting for next setup,bull move ended $SPY bull move ended waiting for next setup,bull move ended spy bull move ended waiting next setup
Stock/Technical Analysis,0.446,Double bottom with handle buy point,IP,Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh,Double bottom with handle buy point Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh,double bottom handle buy point double bottom handle buy point ip httpchartlyakvujxh
Stock/Technical Analysis,0.176,though RSI and Stoch,GLD,"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.","though RSI and Stoch $GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",though rsi stoch gld httpstkscojr daily chart  though rsi stoch point possible move theres lot resistance
Stock/Price Action/Bearish,-0.536,Downside breakout looks to be coming soon,ACOM,$ACOM http://stks.co/1G6x Downside breakout looks to be coming soon.,Downside breakout looks to be coming soon $ACOM http://stks.co/1G6x Downside breakout looks to be coming soon.,downside breakout looks coming soon acom httpstkscogx downside breakout looks coming soon
Stock/Price Action/Bullish,0.385,Target 15 plus on a close over 13.50 on better than avg daily Volume,ZAGG,$ZAGG getting ready...Target $15 plus on a close over $13.50 on better than avg daily Volume http://chart.ly/lha44tn,Target 15 plus on a close over 13.50 on better than avg daily Volume $ZAGG getting ready...Target $15 plus on a close over $13.50 on better than avg daily Volume http://chart.ly/lha44tn,target  plus close better avg daily volume zagg getting readytarget  plus close better avg daily volume httpchartlylhatn
Market/Volatility,0.042,volatility squeeze,AAPL,volatility squeeze in $AAPL. I hope it gets resolved to the upside,volatility squeeze volatility squeeze in $AAPL. I hope it gets resolved to the upside,volatility squeeze volatility squeeze aapl hope gets resolved upside
Stock/Price Action/Volatility/Short Selling,-0.543,Still short LNG from 11.70 area...next stop could be down through 9.00.,LNG,"Still short $LNG from $11.70 area...next stop could be down through $9.00. Someone slammed it hard with 230,000 shs this am! More to follow","Still short LNG from 11.70 area...next stop could be down through 9.00. Still short $LNG from $11.70 area...next stop could be down through $9.00. Someone slammed it hard with 230,000 shs this am! More to follow",still short lng areanext stop could still short lng areanext stop could someone slammed hard shs follow
Stock/Price Action/Bullish/Bullish Behavior,0.348,Covered my small MWW short,MWW,Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,Covered my small MWW short Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,covered small mww short covered small mww short   loss flat day cash 
Stock/Technical Analysis,-0.39,200 day resistance still intact,SDS,That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t,200 day resistance still intact That bearish outside day Tuesday is significant. 200 day resistance still intact. just my opinion $SDS http://chart.ly/2bey48t,day resistance still intact bearish outside day tuesday significant  day resistance still intact opinion sds httpchartlybeyt
Stock/Technical Analysis,0.594,broke DT line 1st MACD cross,IYT,"RT FITZSTOCK2004: $IYT http://stks.co/1NBF the Transports always lead  the way, and  they broke DT  line  1st, MACD cross,  bull  flag=","broke DT line 1st MACD cross RT FITZSTOCK2004: $IYT http://stks.co/1NBF the Transports always lead  the way, and  they broke DT  line  1st, MACD cross,  bull  flag=",broke dt line st macd cross rt fitzstock iyt httpstksconbf transports always lead  way broke dt  line  st macd cross  bull  flag
Stock/Technical Analysis/Stochastic,0.702,weekly stochastics finally starting to turn up,DUG,$DUG weekly stochastics finally starting to turn up after long consolidation. Buying here.,weekly stochastics finally starting to turn up $DUG weekly stochastics finally starting to turn up after long consolidation. Buying here.,weekly stochastics finally starting turn dug weekly stochastics finally starting turn long consolidation buying 
Stock/Price Action/Bullish,0.412,Next week we will pop higher,SPY,$SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.,Next week we will pop higher $SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.,next week pop higher spy dont hang bull hat yet next week pop higher qe hope back feds  day meeting
Stock/Price Action/Bullish/Bull Position,0.65,longed,AMZN,longed $AMZN 300 @ 189.82,longed longed $AMZN 300 @ 189.82,longed longed amzn
Corporate/Strategy/Company Agreement,0.244,Agree on Plan for BPI Angola Exposure,CaixaBank,"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure","Agree on Plan for BPI Angola Exposure CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",agree plan bpi angola exposure caixabank dos santos agree plan bpi angola exposure
Stock/Options,0.145,is down but weekly 34 calls,SLW,"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg","is down but weekly 34 calls $SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg",weekly  calls slw weekly  calls   x  volume worth chance jmho httpstkscoqfg
Corporate/Sales/Deal,0.497,Receives 7Year 50M Contract,HSC,"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill","Receives 7Year 50M Contract $HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill",receives year contract hsc receives year contract new saudi arabian steel mill
Corporate/Financial/Financial Results,-0.668,Green Mountain revenue misses shares plunge,GMCR,"Reuters: Green Mountain revenue misses, shares plunge http://stks.co/13mW > $GMCR prints 43.80, market in a foul mood, bad day to disappoint","Green Mountain revenue misses shares plunge Reuters: Green Mountain revenue misses, shares plunge http://stks.co/13mW > $GMCR prints 43.80, market in a foul mood, bad day to disappoint",green mountain revenue misses shares plunge reuters green mountain revenue misses shares plunge httpstkscomw  gmcr prints  market foul mood bad day disappoint
Stock/Technical Analysis,-0.299,watch 50mas slope,XLF,"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope","watch 50mas slope $XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",watch mas slope xlf httpstkscokj bounced target buy area bought skf hedge watch mas slope
Corporate/Strategy/Company Agreement,0.243,Isabel dos Santos Reach Agreement Over Angola Exposure,CaixaBank,"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure","Isabel dos Santos Reach Agreement Over Angola Exposure BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",isabel dos santos reach agreement angola exposure bpi says caixabank isabel dos santos reach agreement angola exposure
Stock/Price Action/Bullish/Bull Position,0.685,adding to position here,VXX,$vxx adding to position here !,adding to position here $vxx adding to position here !,adding position vxx adding position 
Corporate/Sales,-0.441,September Comparable Store Sales 4,GPS,$GPS Gap September Comparable Store Sales -4%,September Comparable Store Sales 4 $GPS Gap September Comparable Store Sales -4%,september comparable store sales  gps gap september comparable store sales
Stock/Technical Analysis,0.654,Double bottom with handle buy point,WMT,Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3,Double bottom with handle buy point Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3,double bottom handle buy point double bottom handle buy point wmt httpchartlymlv
Stock/Price Action/Bullish/Bullish Behavior,0.148,continues to consolidate  base here,MA,$MA http://stks.co/1CYN continues to consolidate / base here,continues to consolidate  base here $MA http://stks.co/1CYN continues to consolidate / base here,continues consolidate  base httpstkscocyn continues consolidate  base 
Stock/Price Action/Bullish,0.396,Sets Up for Breakout,QCOM,Nasdaq Sets Up for Breakout Part II | via @AllStarCharts http://stks.co/15Nv  $GOOG $AMZN $QCOM,Sets Up for Breakout Nasdaq Sets Up for Breakout Part II | via @AllStarCharts http://stks.co/15Nv  $GOOG $AMZN $QCOM,sets breakout nasdaq sets breakout part ii  via allstarcharts httpstksconv  goog amzn qcom
Stock/Price Action/Current Price/52-Week High,0.729,trading at alltime high,ISRG,$isrg trading at all-time high after strong earnings report with 4 days of short interest.,trading at alltime high $isrg trading at all-time high after strong earnings report with 4 days of short interest.,trading alltime high isrg trading alltime high strong earnings report days short interest
Corporate/Financial/Financial Results/Earnings,0.63,Reported very good earnings.,UTSI,$UTSI http://stks.co/15uR Long setup. Reported very good earnings.,Reported very good earnings. $UTSI http://stks.co/15uR Long setup. Reported very good earnings.,reported good earnings utsi httpstkscour long setup reported good earnings
Stock/Price Action/Volatility/Short Selling,-0.522,Here come the shorts,GMCR,Here come the shorts marchin' in.  $GMCR.  Lovin' it!,Here come the shorts Here come the shorts marchin' in.  $GMCR.  Lovin' it!,come shorts come shorts marchin gmcr  lovin 
Stock/Price Action/Bullish,0.526,news is becoming very bullish again,AAPL,$aapl news is becoming very bullish again http://stks.co/tMU,news is becoming very bullish again $aapl news is becoming very bullish again http://stks.co/tMU,news becoming bullish aapl news becoming bullish httpstkscotmu
Corporate/M&A/M&A,0.185,launches new takeover bid for Banco BPI,Caixabank,Spain's Caixabank launches new takeover bid for Banco BPI,launches new takeover bid for Banco BPI Spain's Caixabank launches new takeover bid for Banco BPI,launches new takeover bid banco bpi spains caixabank launches new takeover bid banco bpi
Stock/Price Action,0.142,wouldnt be surprised if we took out 423,AAPL,stole my tweet. really wouldn't be surprised if we took out 423 and pinned around it RT @totalguru We could possibly even see425 today $AAPL,wouldnt be surprised if we took out 423 stole my tweet. really wouldn't be surprised if we took out 423 and pinned around it RT @totalguru We could possibly even see425 today $AAPL,wouldnt surprised took stole tweet really wouldnt surprised took pinned around rt totalguru could possibly even see today aapl
Stock/Price Action/Bullish/Bullish Behavior,0.369,broke out now of his bull flag channel and make new highs,DPZ,"$DPZ broke out now of his bull flag channel and make new highs, but volume is very poor","broke out now of his bull flag channel and make new highs $DPZ broke out now of his bull flag channel and make new highs, but volume is very poor",broke bull flag channel make new highs dpz broke bull flag channel make new highs volume poor
Stock/Technical Analysis,0.341,Nice little cupandhandle shaping up on the 15minute,SPY,$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,Nice little cupandhandle shaping up on the 15minute $ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,nice little cupandhandle shaping minute esf nice little cupandhandle shaping minute endofday spy spx favours good day index see gap open
Stock/Price Action/Bearish,-0.605,for all who dont know that means markets will tank now,FAZ,Short more $FAZ for all who don't know that means markets will tank now :-p,for all who dont know that means markets will tank now Short more $FAZ for all who don't know that means markets will tank now :-p,dont know means markets tank short faz dont know means markets tank p
Stock/Price Action,-0.443,Markets Are Still Acting Weak,XLF,RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,Markets Are Still Acting Weak RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,markets still acting weak rt alphatrends vmarkets still acting weak httpstkscoagn  spy qqq xlf smh iwm
Stock/Coverage/AnalystRatings/Upgrade,0.521,reiterated Outperform rating,BRCM,"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.","reiterated Outperform rating FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.",reiterated outperform rating fbr capital reiterated outperform rating brcm price target friday
Stock/Price Action/Bullish/Bullish Behavior,0.445,longs...congrats...another HOD,ELN,$ELN longs...congrats...another HOD,longs...congrats...another HOD $ELN longs...congrats...another HOD,longscongratsanother hod eln longscongratsanother hod
Stock/Price Action/Bearish/Bearish Behavior,-0.424,red before the bell,WYNN,"Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell","red before the bell Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell",red bell casinos red bell lvs  wynn  wynn   unusual comibinations whats running whats red bell
Stock/Price Action/Bullish/Bull Position,0.499,long play,TSPT,$TSPT  long 8.00,long play $TSPT  long 8.00,long play tspt  long
Stock/Price Action/Bullish/Bullish Behavior,0.622,Long setup. Watch for continuation and volume expansion here.,SKH,$SKH http://stks.co/163e Long setup. Watch for continuation and volume expansion here. Hot sector.,Long setup. Watch for continuation and volume expansion here. $SKH http://stks.co/163e Long setup. Watch for continuation and volume expansion here. Hot sector.,long setup watch continuation volume expansion skh httpstkscoe long setup watch continuation volume expansion hot sector
Stock/Price Action/Bearish,0.006,Losing 10 week here,LULU,Looks like its booking a one way ticket to its 40 week MA near 50. Losing 10 week here $LULU http://chart.ly/7xb9h9b,Losing 10 week here Looks like its booking a one way ticket to its 40 week MA near 50. Losing 10 week here $LULU http://chart.ly/7xb9h9b,losing  week looks like booking one way ticket week near  losing  week lulu httpchartlyxbhb
Stock/Price Action,-0.312,the correleation between the dollar index and SPY is simply amazing,SPY,"RT @joemccann the correleation between the dollar index and $SPY is simply amazing. $DX finds support, $SPY retreats like clockwork","the correleation between the dollar index and SPY is simply amazing RT @joemccann the correleation between the dollar index and $SPY is simply amazing. $DX finds support, $SPY retreats like clockwork",correleation dollar index spy simply amazing rt joemccann correleation dollar index spy simply amazing dx finds support spy retreats like clockwork
Stock/Price Action/Current Price/Oversold,0.376,wont stay down,FIO,$FIO won't stay down,wont stay down $FIO won't stay down,wont stay fio wont stay 
Corporate/Sales,-0.077,Despite sales growth,Tesco,"Despite sales growth, UK's Tesco cautions recovery to be bumpy","Despite sales growth Despite sales growth, UK's Tesco cautions recovery to be bumpy",despite sales growth despite sales growth uks tesco cautions recovery bumpy
Stock/Technical Analysis,0.529,Clearing this descending trend line,AAPL,$AAPL http://stks.co/1LDx Clearing this descending trend line / buy area now,Clearing this descending trend line $AAPL http://stks.co/1LDx Clearing this descending trend line / buy area now,clearing descending trend line aapl httpstkscoldx clearing descending trend line  buy area 
Stock/Price Action/Bullish,0.414,Go Long until exp imo,ROST,$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,Go Long until exp imo $ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,go long exp imo rost nov  calls   go long exp imo  unless europeans keeps fing around
Corporate/M&A/M&A,0.199,to pursue takeover of Canadas Entertainment One,ITV,ITV to pursue takeover of Canada's Entertainment One: Bloomberg,to pursue takeover of Canadas Entertainment One ITV to pursue takeover of Canada's Entertainment One: Bloomberg,pursue takeover canadas entertainment one itv pursue takeover canadas entertainment one bloomberg
Stock/Price Action/Bearish,-0.172,any rally beyond todays levels or into this range leads to meltdown.,DIA,i-Grid shows $DIA capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.,any rally beyond todays levels or into this range leads to meltdown. i-Grid shows $DIA capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.,rally beyond todays levels range leads meltdown igrid shows dia capped long term range rally beyond todays levels range leads meltdown
Stock/Fundamentals,0.011,Numbers looked good not great but good,LULU,"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.","Numbers looked good not great but good Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",numbers looked good great good whats lulu  numbers looked good great good  think conference call instill confidence
Stock/Price Action/Bearish/Bearish Behavior,-0.614,looking very weak could be a good short setup.,ZSL,"$ZSL looking very weak, could be a good short setup.","looking very weak could be a good short setup. $ZSL looking very weak, could be a good short setup.",looking weak could good short setup zsl looking weak could good short setup
Stock/Price Action/Volatility/Short Selling,-0.483,darn those shorts,FMCN,"@Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!","darn those shorts @Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!",darn shorts dlerch lol fmcn back darn shorts chit sherlock
Stock/Price Action/Bearish/Bearish Behavior,-0.607,Bottom Pickers continue to get destroyed,MCP,$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,Bottom Pickers continue to get destroyed $mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,bottom pickers continue get destroyed mcp rolling new intraday low bottom pickers continue get destroyed
Corporate/Dividend Policy,0.455,plans a 33 dividend hike,ACE,"ACE Limited, which has a 17 year dividend growth streak, plans a 33% dividend hike: http://stks.co/1BUE $ACE","plans a 33 dividend hike ACE Limited, which has a 17 year dividend growth streak, plans a 33% dividend hike: http://stks.co/1BUE $ACE",plans dividend hike ace limited year dividend growth streak plans dividend hike httpstkscobue ace
Stock/Technical Analysis/MACD,0.498,MACD crossover a halfahair away on the weekly,AAPL,"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.","MACD crossover a halfahair away on the weekly $AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",macd crossover halfahair away weekly aapl dma turned macd crossover halfahair away weekly eod break likely
Stock/Technical Analysis,0.345,broken out of a major horizontal resistance,CIEN,$CIEN http://stks.co/dZU CIEN seems to have broken out of a major horizontal resistance. Targets $14.35.,broken out of a major horizontal resistance $CIEN http://stks.co/dZU CIEN seems to have broken out of a major horizontal resistance. Targets $14.35.,broken major horizontal resistance cien httpstkscodzu cien seems broken major horizontal resistance targets
Stock/Price Action/Bullish,0.655,getting through the 100 and 200 MA could see it run.,T,like $T for a breakout long as well. getting through the 100 and 200 MA could see it run.,getting through the 100 and 200 MA could see it run. like $T for a breakout long as well. getting through the 100 and 200 MA could see it run.,getting could see run like breakout long well getting could see run
Stock/Price Action/Bearish,-0.088,Im still skeptical. Will take profits,DWA,My $DWA play up 6% today. I'm still skeptical. Will take profits. Not a time cheer,Im still skeptical. Will take profits My $DWA play up 6% today. I'm still skeptical. Will take profits. Not a time cheer,im still skeptical take profits dwa play today im still skeptical take profits time cheer
Stock/Price Action/Bullish,0.532,staying strong,IBM,$IBM staying strong,staying strong $IBM staying strong,staying strong ibm staying strong
Corporate/Reputation,-0.55,even though the report is untrue and has been proven unture the damage is done,SINA,"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now","even though the report is untrue and has been proven unture the damage is done $SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now",even though report untrue proven unture damage done sina even though report untrue proven unture damage done one wants touch 
Stock/Technical Analysis,0.221,4 period RSI is down at 20,AMZN,"$amzn 4 period RSI is down at 20, just read Connors book on trading strategies","4 period RSI is down at 20 $amzn 4 period RSI is down at 20, just read Connors book on trading strategies",period rsi amzn  period rsi read connors book trading strategies
Corporate/Legal,-0.354,Bid for Reargument Denied by Judge,SIGA,$SIGA Bid for Reargument Denied by Judge,Bid for Reargument Denied by Judge $SIGA Bid for Reargument Denied by Judge,bid reargument denied judge siga bid reargument denied judge
Stock/Technical Analysis/Breakout,0.194,Crazy looking chart but nearing breakout resistance line,YHOO,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...","Crazy looking chart but nearing breakout resistance line RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",crazy looking chart nearing breakout resistance line rt andrewnyquist chartology yahoo httpstkscoitr yhoo  crazy looking chart nearing breakout resistance line
Stock/Price Action/Bullish/Bullish Behavior,0.443,consolidating above 50  200 MA,CERN,$CERN - consolidating above 50 & 200 MA - nice long entry here w stop below 10 MA - targeting $70 area,consolidating above 50  200 MA $CERN - consolidating above 50 & 200 MA - nice long entry here w stop below 10 MA - targeting $70 area,consolidating cern  consolidating nice long entry w stop targeting  area
Corporate/Sales/Deal,0.224,Sees Baxalta Deal Closing as Expected,Shire,Shire Sees Baxalta Deal Closing as Expected After New Rules,Sees Baxalta Deal Closing as Expected Shire Sees Baxalta Deal Closing as Expected After New Rules,sees baxalta deal closing expected shire sees baxalta deal closing expected new rules
Stock/Price Action/Bullish,0.316,Were holding above Wednesday and Thursday closes. Im leaning bullish,SPY,$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,Were holding above Wednesday and Thursday closes. Im leaning bullish $SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,holding wednesday thursday closes im leaning bullish spy httpstkscomir holding wednesday thursday closes im leaning bullish small postions waiting
Stock/Fundamentals/Share Buyback,0.285,Rowan Expands Share Repurchase Program,RDC,$RDC Rowan Expands Share Repurchase Program to $150 million,Rowan Expands Share Repurchase Program $RDC Rowan Expands Share Repurchase Program to $150 million,rowan expands share repurchase program rdc rowan expands share repurchase program million
Corporate/M&A/M&A,0.257,to Buy Barclays Wealth Management Unit,OCBC,"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong","to Buy Barclays Wealth Management Unit OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",buy barclays wealth management unit ocbc buy barclays wealth management unit singapore hong kong
Stock/Price Action,0.0,sideways,NVDA,$NVDA sideways,sideways $NVDA sideways,sideways nvda sideways
Stock/Price Action/Current Price/52-Week High,0.68,Resuming advance into new historical highs.,HITK,$HITK  Resuming advance into new historical highs.,Resuming advance into new historical highs. $HITK  Resuming advance into new historical highs.,resuming advance new historical highs hitk  resuming advance new historical highs
Stock/Technical Analysis,0.198,Held its recent double bottom buy point,WMT,Held its recent double bottom buy point of 56.57 almost to the penny today $WMT http://chart.ly/6nosp5q,Held its recent double bottom buy point Held its recent double bottom buy point of 56.57 almost to the penny today $WMT http://chart.ly/6nosp5q,held recent double bottom buy point held recent double bottom buy point almost penny today wmt httpchartlynospq
Stock/Technical Analysis/Breakout,0.518,breakout very likely,GOOG,$GOOG breakout very likely medium target $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr,breakout very likely $GOOG breakout very likely medium target $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr,breakout likely goog breakout likely medium target  httpstkscolpz httpchartlylgbrr
Corporate/Sales,0.539,Sales Were Off the Charts,AAPL,RT @Street_Insider The Steve Jobs Effect? Apple $AAPL First Day iPhone 4S Sales Were Off the Charts http://stks.co/YYe,Sales Were Off the Charts RT @Street_Insider The Steve Jobs Effect? Apple $AAPL First Day iPhone 4S Sales Were Off the Charts http://stks.co/YYe,sales charts rt streetinsider steve jobs effect apple aapl first day iphone sales charts httpstkscoyye
Market/Market,-0.497,market tanking,FIO,"that was quick, out $FIO 21.35, market tanking, scaling down longs now","market tanking that was quick, out $FIO 21.35, market tanking, scaling down longs now",market tanking quick fio  market tanking scaling longs 
Stock/Price Action,-0.406,great short setting up,SPY,$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,great short setting up $SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,great short setting spy extreme win today   cents low year spy percent  life bowl cherries  great short setting 
Corporate/Dividend Policy,0.324,Increases Annual Dividend Target,LNT,$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,Increases Annual Dividend Target $LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,increases annual dividend target lnt increases annual dividend target share share
Stock/Technical Analysis,-0.361,still has a rising RSI  MACD,UUP,"RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP","still has a rising RSI  MACD RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP",still rising rsi  macd rt cashcow tlt still rising rsi  macd bond buying signaling bad moves market spy uup
Corporate/Financial/Financial Results/Earnings,0.477,crunching s,IDCC,$IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,crunching s $IDCC - $89 share total value of company after crunching #'s. The 4g technology is their diamond in the rough.,crunching idcc   share total value company crunching g technology diamond rough
Stock/Price Action/Bullish,0.195,hanging in well today. still in a basing pattern,MAKO,$mako hanging in well today. still in a basing pattern. have eyes on it,hanging in well today. still in a basing pattern $mako hanging in well today. still in a basing pattern. have eyes on it,hanging well today still basing pattern mako hanging well today still basing pattern eyes 
Stock/Price Action/Volatility/Short Selling,-0.469,think shorting here into close might be play,SPY,"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot","think shorting here into close might be play RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot",think shorting close might play rt stockdemons think shorting close might play spy  high beta reversinglooks worth shot
Stock/Price Action/Bullish/Bullish Behavior,0.807,is a rocket ship,TZA,$TZA is a rocket ship!!!,is a rocket ship $TZA is a rocket ship!!!,rocket ship tza rocket ship
Stock/Price Action/Bullish,0.394,stocks look like a 510 run awaits. Long,SSRI,"Lots of metal stocks look like a 5-10% run awaits. Long $SSRI,$PAAS and $NEM but most high quality names should go if metal prices cooperate","stocks look like a 510 run awaits. Long Lots of metal stocks look like a 5-10% run awaits. Long $SSRI,$PAAS and $NEM but most high quality names should go if metal prices cooperate",stocks look like run awaits long lots metal stocks look like run awaits long ssripaas nem high quality names go metal prices cooperate
Stock/Price Action/Bullish/Bullish Behavior,0.141,sits near hod,SPY,$vxx starting to creep up while $spy sits near hod ...,sits near hod $vxx starting to creep up while $spy sits near hod ...,sits near hod vxx starting creep spy sits near hod
Stock/Price Action/Volatility/Short Selling,0.411,Im sure those short are holding their breath,AAPL,$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,Im sure those short are holding their breath $AAPL I'm sure those short are holding their breath hoping for a miracle. lol,im sure short holding breath aapl im sure short holding breath hoping miracle lol
Stock/Price Action/Volatility/Short Selling,-0.57,bear raid in effect. Stock down 12,VVUS,VIVUS $VVUS bear raid in effect. Stock down 12%,bear raid in effect. Stock down 12 VIVUS $VVUS bear raid in effect. Stock down 12%,bear raid effect stock vivus vvus bear raid effect stock 
Stock/Price Action/Bearish/Bear Position,-0.352,I may try a short.,CREE,looks like a big feb 18-22 $put spread on $cree.  Last quarter 0% YoY rev growth trading @ 24x earnings.  I may try a short.,I may try a short. looks like a big feb 18-22 $put spread on $cree.  Last quarter 0% YoY rev growth trading @ 24x earnings.  I may try a short.,may try short looks like big feb  put spread cree  last quarter  yoy rev growth trading  x earnings  may try short
Stock/Price Action/Current Price/Overbought,-0.451,wayyy overvalued right now IMO,YELP,$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,wayyy overvalued right now IMO $YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,wayyy overvalued right imo yelp wayyy overvalued right imo trading single digits may take short pos earnings near term target
Stock/Price Action/Bearish,-0.64,short from here.,RENN,$renn topping tail 5 min. chart at 7.31 short from here.,short from here. $renn topping tail 5 min. chart at 7.31 short from here.,short renn topping tail  min chart short 
Stock/Price Action/Bearish,-0.297,weak close,SPY,$SPY weak close,weak close $SPY weak close,weak close spy weak close
Stock/Technical Analysis,0.248,Looking for a test at 9.25 resistance point,ZNGA,$ZNGA http://stks.co/3rdu Looking for a test at 9.25 resistance point. cc @ cfrazierjr @FletchTrade #traders,Looking for a test at 9.25 resistance point $ZNGA http://stks.co/3rdu Looking for a test at 9.25 resistance point. cc @ cfrazierjr @FletchTrade #traders,looking test resistance point znga httpstkscordu looking test resistance point cc  cfrazierjr fletchtrade traders
Stock/Price Action/Bullish/Bullish Behavior,0.354,hod poste,EFUT,$EFUT hod  posted buy pm at $4.40,hod poste $EFUT hod  posted buy pm at $4.40,hod poste efut hod  posted buy pm 
Stock/Price Action/Bearish/Bear Position,-0.464,short some,AAPL,$AAPL short some 592.49,short some $AAPL short some 592.49,short aapl short 
Stock/Price Action,0.052,share price steady,Tesco,Tesco share price steady as analysts weigh in on results,share price steady Tesco share price steady as analysts weigh in on results,share price steady tesco share price steady analysts weigh results
